رقمالإستمارة,إسم المالك,التاريخ,الكمية المرحلة بالجرام,الولاية,الرمز
RN/181,أعمال أي كوم التجارية,21/04/2024,29676.7,نهر النيل,7
RN/182,شركة المنجز للإستيراد والتصدير,23/04/2024,20856.6,نهر النيل,5
RN/183,شركة العبار للتنمية المحدودة,24/04/2024,48258.7,نهر النيل,4
RN/184,أعمال جسر الخليج,24/04/2024,16353.1,نهر النيل,3
RN/185,شركة العبار للتنمية,27/04/2024,26426.3,نهر النيل,4
RN/186,شركة مأمور كومرا للأنشطة المتعددة,27/04/2024,66746.9,نهر النيل,10
RN/187,أعمال علي محمد إبراهيم التجارية,28/04/2024,31026,نهر النيل,8
RN/188,شركة المنجز للإستيراد والتصدير,28/04/2024,24589.2,نهر النيل,5
RN/189,شركة أولاد محي الدين,30/04/2024,43063.1,نهر النيل,1
RN/190,شركة المنجز للإستيراد والتصدير,01/05/2024,39086.7,نهر النيل,5
RN/191,شركة المنجز للإستيراد والتصدير,01/05/2024,20343.5,نهر النيل,5
RN/192,أعمال أي كوم التجارية,01/05/2024,39648.4,نهر النيل,7
RN/193,القصر فون للإستيراد والتصدير,01/05/2024,5062.3,نهر النيل,23
RN/194,أعمال جسر الخليج,02/05/2024,11814,نهر النيل,3
RN/195,شركة العبار للتنمية المحدودة,05/05/2024,64650.4,نهر النيل,4
RN/196,شركة العبار للتنمية المحدودة,05/05/2024,45349.4,نهر النيل,4
RN/197,شركة علقم للأنشطة المتعددة,06/05/2024,36771.7,نهر النيل,9
RN/198,شركة علقم للأنشطة المتعددة,06/05/2024,20056.8,نهر النيل,9
RN/199,شركة علقم للأنشطة المتعددة,06/05/2024,5295.8,نهر النيل,9
RN/200,أعمال التعدين المتقدمة,08/05/2024,7753.9,نهر النيل,15
RN/201,شركة مأمور كومرا للأنشطة المتعددة,11/05/2024,35150.9,نهر النيل,10
RN/202,شركة علقم للأنشطة المتعددة,12/05/2024,23697,نهر النيل,9
RN/203,شركة العبار للتنمية المحدودة,18/05/2024,123450.4,نهر النيل,4
RN/204,شركة مأمور كومرا للأنشطة المتعددة,18/05/2024,22293.4,نهر النيل,10
RN/205,شركة  المنجز الإستيراد والتصدير,19/05/2024,12955.9,نهر النيل,5
RN/206,شركة أعمال بانوراما للإستيراد والتصدير,20/05/2024,10698.7,نهر النيل,24
RN/207,شركة العبار للتنمية المحدودة,22/05/2024,49884.1,نهر النيل,4
RN/208,أعمال علي محمد إبراهيم,22/05/2024,30927.7,نهر النيل,8
RN/209,شركة اولاد محي الدين,23/05/2024,87542.5,نهر النيل,1
RN/210,المنجز للإستيراد والتصدير,26/05/2024,15959.7,نهر النيل,5
RN/211,دان للأعمال المتقدمة المحدودة,26/05/2024,18154.9,نهر النيل,21
RN/212,أعمال بانوراما,26/05/2024,26439.4,نهر النيل,24
RN/213,شركة علقم للأنشطة المتعددة,26/05/2024,65622.6,نهر النيل,9
RN/214,شركة علقم للأنشطة المتعددة,27/05/2024,14063.6,نهر النيل,9
RN/215,أعمال علي محمد إبراهيم التجارية,29/05/2024,5380.5,نهر النيل,8
RN/216,المنجز للإستيراد والتصدير,29/05/2024,13839.5,نهر النيل,5
RN/217,شركة مأمور كومرا للأنشطة المتعددة,26/05/2024,65625.1,نهر النيل,10
RN/218,المنجز للإستيراد والتصدير,30/05/2024,22659.4,نهر النيل,5
RN/219,شركة العبار للتنمية المحدودة,01/06/2024,43781.5,نهر النيل,4
RN/220,أعمال أي كوم التجارية المحدودة,02/06/2024,62277.2,نهر النيل,7
RN/221,أعمال بانوراما للإستيراد والتصدير,03/06/2024,32695.3,نهر النيل,24
RN/222,أعمال أي كوم التجارية المحدودة,02/06/2024,12886.2,نهر النيل,7
RN/223,شركة المنجز للإستيراد والتصدير,03/06/2024,8832.3,نهر النيل,5
RN/224,أعمال بانوراما للإستيراد والتصدير,03/06/2024,7538.6,نهر النيل,24
RN/225,شركة أولاد محي الدين التجارية المحدودة,03/06/2024,30954.8,نهر النيل,1
RN/226,أعمال علي إبراهيم التوم التجارية,03/06/2024,15286.8,نهر النيل,8
RN/227,أعمال علي إبراهيم التوم التجارية,03/06/2024,3002.1,نهر النيل,8
RN/228,شركة العبار للتنمية المحدودة,04/06/2024,29988.5,نهر النيل,4
RN/229,شركة مراسي للأنشطة المتعددة,04/06/2024,20184.9,نهر النيل,25
RN/230,أعمال تالين قولد للإستيراد والتصدير,04/06/2024,11137.1,نهر النيل,26
RN/231,شركة مراسي للأنشطة المتعددة,05/06/2024,44170.2,نهر النيل,25
RN/232,شركة المنجز للإستيراد والتصدير,05/06/2024,23146.1,نهر النيل,5
RN/233,شركة دان للأعمال المتقدمة المحدودة,06/06/2024,23873.1,نهر النيل,21
RN/234,أعمال علي محمد إبراهيم التوم التجارية,06/06/2024,26061.4,نهر النيل,8
RN/235, شركة مراسي للأنشطة المتعددة,08/06/2024,61870.6,نهر النيل,25
RN/236,شركة بانوراما للإستيراد والتصدير,08/06/2024,26757.7,نهر النيل,24
RN/237,شركة أعمال علي محمد إبراهيم,10/06/2024,55651.9,نهر النيل,8
RN/238,أعمال أي كوم التجارية,10/06/2024,50485.5,نهر النيل,7
RN/239,أعمال أي كوم التجارية,10/06/2024,39232.2,نهر النيل,7
RN/240,شركة دانا للأعمال المتقدمة المحدودة,10/06/2024,31952.4,نهر النيل,21
RN/241,شركة المنجز للإستيراد والتصدير,10/06/2024,33393,نهر النيل,5
RN/242,شركة أولاد محي الدين المحدودة,11/06/2024,9414.6,نهر النيل,1
RN/243,شركة مأمور كومرا للأنشطة المتعددة,12/06/2024,64544.5,نهر النيل,10
RN/244,أعمال بانوراما للإستيراد والتصدير,23/06/2024,22860.6,نهر النيل,24
RN/245,شركة مراسي للأنشطة المتعددة,23/06/2024,42895.2,نهر النيل,25
RN/246,شركة المنجز للإستيراد والتصدير,23/06/2024,95617.2,نهر النيل,5
RN/247,شركة أي كوم التجارية,23/06/2024,104535.2,نهر النيل,7
RN/248,أعمال أي كوم التجارية,24/06/2024,31355.1,نهر النيل,7
RN/249,شركة أولاد محي الدين المحدودة,24/06/2024,18635.5,نهر النيل,1
RN/250,شركة أولاد محي الدين المحدودة,24/06/2024,26622.9,نهر النيل,1
RN/251,شركة المنجز للإستيراد والتصدير,24/06/2024,29660,نهر النيل,5
RN/252,شركة مراسي للأنشطة المتعددة المحدودة,25/06/2024,54066.6,نهر النيل,25
