رقم الإستمارة,إسم المالك,التاريخ,الكمية المرحلة بالجرام,الولاية,الرمز,,
KS/151,الكتلة الذهبية للتعدين,14/09/2024,12569.9,كسلا,32,,
KS/152,شركة جلجال للحلول المتكاملة,14/09/2024,14980.5,كسلا,22,,
KS/153,شركة جلجال للحلول المتكاملة,18/09/2024,28573.4,كسلا,22,,
KS/154,أعمال تالين قولد للإستيراد والتصدير,18/09/2024,6576.6,كسلا,26,,
KS/155,شركة جلجال للحلول المتكاملة,22/09/2024,23999.3,كسلا,22,,
KS/156,شركة جلجال للحلول المتكاملة,22/09/2024,15407,كسلا,22,,
KS/157,شركة الكتلة الذهبية للتعدين,22/09/2024,10515.5,كسلا,32,,
KS/158,أعمال علي محمد إبراهيم,23/09/2024,19193.7,كسلا,8,,
KS/159,أعمال بانوراما للإستيراد والتصدير,29/09/2024,14010.2,كسلا,24,,
KS/160,الشركة الفيصلية المحدودة,29/09/2024,4609.9,كسلا,6,,
KS/161,الكتلة الذهبية للتعدين,30/09/2024,13537.1,كسلا,32,,
KS/162,الشركة الفيصلية المحدودة,01/10/2024,3493.2,كسلا,6,,
KS/163,شركة الكتلة الذهبية للتعدين المحدودة,08/10/2024,15046.3,كسلا,32,,
KS/164,شركة أي دي جي للتجارة العامة المحدودة,08/10/2024,5787.7,كسلا,54,,
KS/165,الشركة الفيصلية المحدودة,20/10/2024,5143.1,كسلا,6,,
KS/167,أعمال علي محمد إبراهيم,27/10/2024,17002.8,كسلا,8,,
KS/167,شركة أسفير للتعدين المحدودة,28/10/2024,16130.9,كسلا,44,,
KS/168,أعمال تالين قولد للإستيراد والتصدير,28/10/2024,16356.2,كسلا,26,,
KS/169,شركة أعمال التعدين المتقدمة المحدودة,30/10/2024,25438.5,كسلا,15,,
KS/170,شركة جلجال للحلول المتكاملة,30/10/2024,19431,كسلا,22,,
KS/171,الشركة الفيصلية المحدودة,30/10/2024,8429.2,كسلا,6,,
