رقمالإستمارة,إسم المالك,التاريخ,الكمية المرحلة بالجرام,الولاية,الرمز
RS/114,شركة أعمال التعدين المتقدمة,13/05/2024,7753.9,البحر الاحمر,15
RS/115,شركة أعمال التعدين المتقدمة,15/05/2024,7913.4,البحر الاحمر,15
RS/116,شركة تيتان العالمية المحدودة,15/05/2024,31295.7,البحر الاحمر,28
RS/117,شركة مأمور كومرا للأنشطة المتعددة,15/05/2024,36144.9,البحر الاحمر,10
RS/118,شركة مأمور كومرا للأنشطة المتعددة,16/05/2024,33085.4,البحر الاحمر,10
RS/119,الشركة الفيصلية المحدودة,19/05/2024,1605.1,البحر الاحمر,6
RS/120,شركة العبار للتنمية المحدودة,19/05/2024,15902.3,البحر الاحمر,4
RS/121,شركة مأمور كومرا للأنشطة المتعددة,20/05/2024,15156.6,البحر الاحمر,10
RS/122,شركة أكون لايد للأنشطة المتعددة,22/05/2024,3644.3,البحر الاحمر,12
RS/123,أعمال علي محمد إبراهيم,23/05/2024,4650.5,البحر الاحمر,8
RS/124,شركة أكون لايد للأنشطة المتعددة,23/05/2024,1166.5,البحر الاحمر,12
RS/125,أعمال بانورما للإستيراد والتصدير,26/05/2024,9772,البحر الاحمر,24
RS/125-2,شركة علقم للأنشطة المتعددة,27/05/2024,29111.6,البحر الاحمر,9
RS/126,المنجز للإستيراد والتصدير,27/05/2024,3685.2,البحر الاحمر,5
RS/127,أعمال تالين قولد للإستيراد والتصدير,28/05/2024,1246.5,البحر الاحمر,26
RS/128,شركة مصفاة السودان للذهب,29/05/2024,31577.7,البحر الاحمر,29
RS/129,شركة مامور كومرا للأنشطة المتعددة,02/06/2024,28937.9,البحر الاحمر,10
RS/130,شركة جلجال للحلول المتكاملة,02/06/2024,6096.8,البحر الاحمر,22
RS/131,أعمال على محمد إبراهيم التوم التجارية,04/06/2024,2409.9,البحر الاحمر,8
RS/132,شركة أولاد محي الدين التجارية,04/06/2024,8217.9,البحر الاحمر,1
RS/133,أعمال على محمد إبراهيم التوم التجارية,04/06/2024,5913.7,البحر الاحمر,8
RS/134,أعمال أي كوم بان قولف للتعدين,04/06/2024,7198,البحر الاحمر,7
RS/135,العبار للتنمية المحدودة,04/06/2024,18346.6,البحر الاحمر,4
RS/136,شركة تالين قولد للإستيراد والتصدير,05/06/2024,2335.5,البحر الاحمر,26
RS/137,أعمال علي محمد إبراهيم التوم التجارية,10/06/2024,25083.5,البحر الاحمر,8
RS/138,شركة المنجز للإستيراد والتصدير,10/06/2024,1416.8,البحر الاحمر,5
RS/139,أعمال أي كوم التجارية,10/06/2024,5361.4,البحر الاحمر,7
RS/140,الشركة الفيصلية المحدودة,11/06/2024,5188.9,البحر الاحمر,6
RS/141,أعمال علي محمد إبراهيم التوم التجارية,11/06/2024,1877,البحر الاحمر,8
RS/142,شركة أولاد محي الدين التجارية,11/06/2024,2994.9,البحر الاحمر,1
RS/143,شركة أولاد محي الدين التجارية,11/06/2024,20157.6,البحر الاحمر,1
RS/144,شركة أكون لايد للأنشطة المتعددة,13/06/2024,4333.1,البحر الاحمر,12
RS/145,شركة أولاد محي الدين التجارية,13/06/2024,10182.8,البحر الاحمر,1
RS/146,شركة مأمور كومرا للأنشطة المتعددة,13/06/2024,22969.5,البحر الاحمر,10
RS/147,أعمال علي محمد إبراهيم التوم التجارية,30/06/2024,1964,البحر الاحمر,8
RS/148,شركة المنجز للإستيراد والتصدير,30/06/2024,5571.3,البحر الاحمر,5
RS/149,شركة شاهقات العالمية للإستثمار,30/06/2024,12436.9,البحر الأحمر,27
RS/150,أعمال علي محمد إبراهيم التجارية,01/07/2024,1048.7,البحر الأحمر,8
RS/151,شركة شاهقات العالمية المحدودة,02/07/2024,23170.5,البحر الأحمر,27
RS/152,شركة إي دي جي للتجارة العالمية المحدودة,03/07/2024,3074,البحر الأحمر,54
RS/153,أعمال المصري ضي النور,04/07/2024,11934.2,البحر الأحمر,55
RS/154,شركة مصفات السودان للذهب المحدودة,04/07/2024,47376,البحر الأحمر,29
RS/155,أعمال علي محمد إبراهيم التجارية,08/07/2024,3166.6,البحر الأحمر,8
RS/156,شركة تالين قولد للإستيراد والتصدير,08/07/2024,18081.5,البحر الأحمر,26
RS/157,شركة جلجال للحلول المتكاملة المحدودة,08/07/2024,27070.4,البحر الأحمر,22
RS/158,أعمال بانوراما للإستيراد والتصدير,09/07/2024,10292,البحر الأحمر,24
RS/159,أعمال أي كوم التجارية,09/07/2024,4164.8,البحر الأحمر,7
RS/160,شركة المنجز للإستيراد والتصدير,09/07/2024,989.2,البحر الأحمر,5
